Time_Days	Prod_method	Encaps_rate	Hyper_wiener_index	Mean_part_size	pI	PVA_conc_inner_phase	PVA_Mw	PLGA_Mw	S_no	PLGA_visc	PLGA_to_Placticizer	pH_0_logd	Carboaromatic_ring_count	pH_14_logd	pH_4_logd	Ring_atom_count.2	Wiener_index	diss_add_conc	pH_9_logd	Dreiding_energy	Minimal_projection_radius.1	Inner_phase_volume	Q_perc
26.979	2	90.16	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	100.0
0.0	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	0.0
0.025	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	46.667
0.252	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	69.63
1.008	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	84.074
2.0	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	89.259
3.008	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	92.22200000000001
5.023	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	93.23100000000001
6.011	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	94.154
7.029	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	95.07700000000001
8.016	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	95.538
10.021	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	95.538
11.039000000000001	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	96.462
12.027000000000001	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	98.76899999999999
13.015	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
14.032	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	99.69200000000001
18.958	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	100.0
23.958000000000002	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	100.0
26.979	2	94.86	-429981997	24.5	5.3	2.5	40000	38000	39	0.45	0.0	0.0	49	0.0	0.0	525	0	0.0	0.0	1166699.675	0.0	1.0	100.0
0.0	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	0.0
0.8170000000000001	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	66.37899999999999
3.065	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	66.81
6.063	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	67.241
9.06	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	78.44800000000001
11.921	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	93.53399999999999
14.985999999999999	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	98.70700000000001
17.984	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	100.0
24.932	1	18.0	224033430	6.75	4.6	1.0	25000	10000	7	0.133	0.0	0.0	7	0.0	0.0	63	0	0.04	0.0	11461.34	0.0	2.0	100.0
1.052	1	93.5	-70193260	16.0	11.35	1.0	50000	10000	10	0.16	0.0	0.0	12	0.0	0.0	105	0	0.0	0.0	8261.69	0.0	1.0	9.232000000000001
